Project.ID,Deployment.Location.ID,SiteName,Latitude,Longitude,StartDate,EndDate,Property.Type,Status
UWSS,Site01,1,48.41563889,-123.3184,2018-07-01,NA,Private,Active
UWSS,Site02,2,48.41461111,-123.3162,2018-07-16,2020-10-27,Park,Inactive
UWSS,Site02a,2a,48.414943,-123.316712,2021-01-01,NA,Private,Active
UWSS,Site03,3,48.41497222,-123.3081,2018-07-01,2020-10-27,Private,Inactive
UWSS,Site03a,3a,48.41541,-123.307934,2021-03-01,NA,Private,Active
UWSS,Site04,4,48.41422222,-123.3031,2018-07-01,NA,Golf,Active
UWSS,Site05,5,48.41936111,-123.318,2018-07-01,NA,Public,Active
UWSS,Site06,6,48.4195,-123.3138,2018-07-31,2021-01-19,Private,Inactive
UWSS,Site06a,6a,48.417187,-123.309011,2021-05-10,2021-09-03,Private,Inactive
UWSS,Site06,6,48.4195,-123.3138,2022-08-14,NA,Private,Active
UWSS,Site07,7,48.41927778,-123.307,2018-07-01,2021-10-15,Private,Inactive
UWSS,Site07a,7a,48.418265,-123.306162,2022-07-31,NA,Private,Active
UWSS,Site08,8,48.41880556,-123.3018,2018-07-01,2020-08-18,Golf,Inactive
UWSS,Site08a,8a,48.418124,-123.30142,2020-10-16,NA,Golf,Active
UWSS,Site09,9,48.42394444,-123.3174,2018-07-30,NA,Private,Active
UWSS,Site10,10,48.42986111,-123.3091,2018-07-01,2020-10-15,Public,Inactive
UWSS,Site10a,10a,48.428718,-123.308222,2021-03-28,2021-11-28,Private,Inactive
UWSS,Site10b,10b,48.427135,-123.31211,2022-08-14,NA,Private,Active
UWSS,Site11,11,48.42413889,-123.3105,2018-08-15,NA,Private,Active
UWSS,Site12,12,48.42272222,-123.3058,2018-07-01,2020-11-27,Park,Inactive
UWSS,Site12a,12a,48.422103,-123.305484,2021-01-01,2021-06-05,Private,Inactive
UWSS,Site12b,12b,48.422275,-123.305306,2021-07-31,NA,Private,Active
UWSS,Site13,13,48.42583333,-123.3169,2018-07-30,2018-08-26,Park,Inactive
UWSS,Site13a,13a,48.425145,-123.318595,2018-11-23,2019-06-07,Private,Inactive
UWSS,Site13b,13b,48.425656,-123.316983,2019-12-29,2020-01-25,Private,Inactive
UWSS,Site13,13,48.42583333,-123.3169,2022-08-28,NA,Park,Active
UWSS,Site14,14,48.42427778,-123.3134,2018-07-31,2021-11-28,Private,Inactive
UWSS,Site14a,14a,48.424288,-123.314365,2022-07-17,NA,Private,Active
UWSS,Site15,15,48.42941667,-123.3178,2018-07-01,2020-08-17,Public,Inactive
UWSS,Site15a,15a,48.429267,-123.317476,2022-08-28,NA,Private,Active
UWSS,Site16,16,48.43530556,-123.319,2018-07-16,NA,Private,Active
UWSS,Site17,17,48.43219444,-123.3124,2018-07-31,NA,Private,Active
UWSS,Site18,18,48.43247222,-123.3097,2018-07-30,2021-01-19,Private,Inactive
UWSS,Site18a,18a,48.432652,-123.309552,2021-03-29,NA,Private,Active
UWSS,Site19,19,48.43713889,-123.3172,2018-07-30,NA,Private,Active
UWSS,Site20,20,48.43694444,-123.3131,2018-07-30,2021-01-27,Private,Inactive
UWSS,Site20a,20a,48.435284,-123.315796,2021-05-06,NA,Private,Active
UWSS,Site21,21,48.43377778,-123.3061,2018-08-26,2020-12-14,Private,Inactive
UWSS,Site21a,21a,48.43474,-123.305736,2021-03-28,NA,Private,Active
UWSS,Site22,22,48.43788889,-123.3086,2018-08-03,2020-09-17,Park,Inactive
UWSS,Site22a,22a,48.438124,-123.308413,2021-01-25,NA,Private,Active
UWSS,Site23,23,48.43911111,-123.3185,2018-07-16,2018-11-23,Park,Inactive
UWSS,Site23a,23a,48.425112,-123.3182512,2018-11-23,2021-01-22,Private,Inactive
UWSS,Site23b,23b,48.441785,-123.313932,2021-02-02,NA,Private,Active
UWSS,Site24,24,48.44080556,-123.3151,2018-07-30,2021-01-22,Private,Inactive
UWSS,Site24a,24a,48.440361,-123.31492,2021-02-02,NA,Private,Active
UWSS,Site25,25,48.43933333,-123.306,2018-08-03,2020-10-06,Private,Inactive
UWSS,Site25a,25a,48.440874,-123.304291,2021-04-23,2022-08-20,Private,Inactive
UWSS,Site25,25,48.43933333,-123.306,2022-08-20,NA,Private,Active
UWSS,Site26,26,48.44030556,-123.3023,2018-07-01,2018-10-28,Park,Inactive
UWSS,Site26a,26a,48.4413,-123.3012,2018-12-12,2019-07-07,Park,Inactive
UWSS,Site26b,26b,48.441276,-123.300343,2019-07-07,2020-07-31,Park,Inactive
UWSS,Site26c,26c,48.442207,-123.298048,2020-11-06,2021-01-18,Park,Inactive
UWSS,Site26d,26d,48.440496,-123.299859,2021-08-30,NA,Park,Active
UWSS,Site27,27,48.44413889,-123.3149,2018-07-01,2020-12-05,Park,Inactive
UWSS,Site27a,27a,48.444497,-123.319192,2021-04-26,NA,Private,Active
UWSS,Site28,28,48.44186111,-123.3092,2018-07-30,2021-01-25,Private,Active
UWSS,Site29,29,48.44505556,-123.308,2018-07-01,NA,Private,Active
UWSS,Site30,30,48.44463889,-123.2958,2018-07-01,2021-04-21,Public,Inactive
UWSS,Site30a,30a,48.446288,-123.297038,2021-04-22,2021-07-08,Private,Inactive
UWSS,Site30,30,48.44463889,-123.2958,2022-08-12,NA,Public,Active
UWSS,Site31,31,48.44811111,-123.3158,2018-07-01,2021-01-09,Private,Inactive
UWSS,Site31a,31a,48.447061,-123.315663,2021-01-01,NA,Private,Active
UWSS,Site32,32,48.45169444,-123.3127,2018-07-01,NA,Golf,Active
UWSS,Site33,33,48.45013889,-123.3039,2018-07-01,2020-12-05,Public,Inactive
UWSS,Site33a,33a,48.450111,-123.304419,2021-01-22,NA,Private,Active
UWSS,Site34,34,48.4475,-123.2998,2018-07-01,NA,Private,Active
UWSS,Site35,35,48.45641667,-123.3203,2018-07-30,2021-01-22,Private,Inactive
UWSS,Site35a,35a,48.455715,-123.318949,2021-03-01,NA,Private,Active
UWSS,Site36,36,48.45208333,-123.3179,2018-07-01,2021-01-09,Private,Inactive
UWSS,Site36a,36a,48.451793,-123.3176,2021-02-05,NA,Private,Active
UWSS,Site38,38,48.45186111,-123.2995,2018-08-03,NA,Private,Inactive
UWSS,Site38a,38a,48.452081,-123.300369,2021-08-19,2022-01-30,Private,Inactive
UWSS,Site38b,38b,48.452621,-123.300768,2022-07-17,NA,Public,Active
UWSS,Site39,39,48.45519444,-123.3106,2018-07-01,2021-01-09,Public,Inactive
UWSS,Site39a,39a,48.455221,-123.308703,2021-08-04,2022-05-23,Golf,Inactive
UWSS,Site39,39,48.45519444,-123.3106,2022-05-23,NA,Public,Active
UWSS,Site40,40,48.45347222,-123.304,2018-07-01,2019-04-05,Golf,Inactive
UWSS,Site40a,40a,48.455406,-123.304289,2020-10-22,2022-08-20,Private,Inactive
UWSS,Site40,40,48.45347222,-123.304,2022-08-28,NA,Golf,Active